,Title,Rating,Link,Image,Size,Occasion,color,Rate
10,miessial women's v-neck lace floral long dress embroidery cocktail wedding guest boho maxi dress,140.0,https://www.amazon.com/Miessial-Embroidery-Cocktail-Wedding-X-Large/dp/B0BRN1RK5V/ref=sr_1_6?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-6,https://m.media-amazon.com/images/I/714af-b7xHL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4888
11,miusol women's elegant floral lace 3/4 sleeve bridesmaid formal maxi dress,115.0,https://www.amazon.com/Miusol-Womens-Elegant-Floral-Bridesmaid/dp/B0BSGDCLQS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-7,https://m.media-amazon.com/images/I/71cYimK2n3L._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,5386
12,women wedding dress lace bridesmaid vintage formal cocktail party swing dresses,4422.0,https://www.amazon.com/Twinklady-Womens-Vintage-Sleeve-Swing/dp/B07S9R2YQY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-8,https://m.media-amazon.com/images/I/814wupOjDyS._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3148
13,bbonlinedress women's v-neck dress for women wedding guest hi-lo floral lace prom cocktail party formal bridesmaid dress,401.0,https://www.amazon.com/Bbonlinedress-Dresses-Cocktail-Bridesmaid-3XL/dp/B0BJPK5MHR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-9,https://m.media-amazon.com/images/I/61E8MAm9+PL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4474
14,bbonlinedress women prom wedding dress cocktail halter lace a-line party short vintage homecoming dresses,4118.0,https://www.amazon.com/Cocktail-Vintage-Bridesmaid-Blue-Flower/dp/B09L5ND33B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-10,https://m.media-amazon.com/images/I/718-Z2nV0ML._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,2071
15,homrain women's elegant bell sleeve cocktail party dresses for wedding guest fit and flare modest church midi evening dress,1916.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MzYyMzEwMDc5OTAwNzM6MTcxMDQyNTMyNDpzcF9tdGY6MzAwMTQ2ODA2NjQ3MDAyOjowOjo&url=%2FCocktail-Business-Dresses-Modest-Funeral%2Fdp%2FB0B6PGK7QH%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26qid%3D1710425324%26s%3Dapparel%26sr%3D1-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/511L6wT0UEL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3148
16,hanna nikole women's plus size chiffon ruffle flattering cape sleeve bodycon pencil dress,7896.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MzYyMzEwMDc5OTAwNzM6MTcxMDQyNTMyNDpzcF9tdGY6MzAwMTA3Mzg2MDM4MTAyOjowOjo&url=%2FWomens-Elegant-Cocktail-Overlay-Business%2Fdp%2FB0B6CN8TY1%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26qid%3D1710425324%26s%3Dapparel%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41aUii2XpsL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,3894
17,dressystar women's v neck sleeveless lace bridesmaid dress wedding party gown,4927.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MzYyMzEwMDc5OTAwNzM6MTcxMDQyNTMyNDpzcF9tdGY6MzAwMDMxOTA0MjA2NTAyOjowOjo&url=%2FDressystar-Sleeveless-Bridesmaid-Blush-XL%2Fdp%2FB0BVBCHB82%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26qid%3D1710425324%26s%3Dapparel%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/619CsNG398L._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,4640
18,homrain women's v neck bell sleeve formal dresses for wedding guest ruffle split evening party cocktail dress,1.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5MzYyMzEwMDc5OTAwNzM6MTcxMDQyNTMyNDpzcF9tdGY6MzAwMTM5MTczMDQ1OTAyOjowOjo&url=%2FHomRain-Wedding-Dresses-Evening-Bridesmaid%2Fdp%2FB0CSCWC9HF%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI%26dib_tag%3Dse%26keywords%3Dtamil%2Bwedding%2Bdress%26pageNumber%3D1%26qid%3D1710425324%26s%3Dapparel%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/51dndvgwrlL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,2900
19,yathon women's vintage floral flared a-line swing casual party dresses with pockets,20778.0,https://www.amazon.com/YATHON-Dresses-Patchwork-Homecoming-YT018-Navy/dp/B07QZQ4RP4/ref=sr_1_15?dib=eyJ2IjoiMSJ9.yCJET5hBgRBije7N8Hu03besILWwvxUuk0Qj-CJ20yqflmanltKrVr7CeaqIKuQ6XrlY8F-WhBDrK1JGmh2PHwTQY1ZhrDOgp1OHSeV9120ygherAxdN88lmib3QiVbpQWfE4HEtafjuGW8SzZIRndJFsu_S6OriO76qvshYLq_a_xnf21MkPH6tb0a5VULtrdhiaBNiWVgagmpBFG2JIhMP6jq296DiLtkzQusV2Zysvq8qV2X9wupOsmuKVeCYukFKO8klsbeAkK1Y3iIpd-V5GHcs7ISNc-ihBuDRZAU._Lub_ejA8uoDolH1JwT2PmS2WMc5fWnIbJBspV_0vlI&dib_tag=se&keywords=tamil+wedding+dress&pageNumber=1&qid=1710425324&s=apparel&sr=1-15,https://m.media-amazon.com/images/I/71X2yoUvegL._MCnd_AC_UL320_.jpg,"s,m,l,xl",any,all,2817
